year,question_number,question_type,text
2011,11,OBJECTIVE,"QUESTÃO 11
Uma empresa prestadora de serviços de limpeza de
tubos e tanques da indústria petrolífera utiliza uma bomba
hidráulica de alta vazão, acionada por um motor diesel de
400 Hp. O acoplamento entre o motor e a bomba é feito
por um sistema de corrente, no qual o diâmetro primitivo da
polia acoplada ao motor é d , o da polia acoplada ao eixo da
1
bomba é d e a distância entre os centros do conjunto é H.
2
Preocupado com os problemas causados pela aplicação
desse sistema, o gerente da empresa solicitou um estudo
da viabilidade de substituir a transmissão de corrente Uma bomba de água é movida por um motor elétrico de
por um par de engrenagens, sem alterar a montagem do 18 kW, cuja eficiência é de 90%. A vazão é de 40 litros por
conjunto. O engenheiro encarregado iniciou o estudo de segundo. O diâmetro na tubulação é constante, a diferença
viabilidade pela definição das exigências da cinemática das cotas entre os pontos (1) e (2) é desprezível e a perda de
do engrenamento, envolvendo o número de dentes da carga entre esses pontos corresponde a 5 m. As pressões
engrenagem que seria acoplada ao eixo do motor (Z ), o manométricas na entrada e na saída são, respectivamente,
1
número de dentes da engrenagem que seria acoplada de 150 kPa e 400 kPa.
ao eixo da bomba (Z 2 ) e o módulo a ser selecionado (m). Considerando o peso específico da água δ = 10 000 N/m3
Ele escreveu as seguintes relações:
e a aceleração da gravidade g = 10 m/s2, conclui-se que a
eficiência da bomba é de
I.
II. e A 40%.
III. B 50%.
É correto apenas o que se afirma em C 62%.
D 74%.
A I.
E 90%.
B II.
C I e II."
2011,12,OBJECTIVE,"QUESTÃO 12
D I e III.
E II e III. Uma empresa produz diariamente 650 buchas de ferro
fundido cinzento da classe FE-45012, com dureza de"
2011,13,OBJECTIVE,QUESTÃO 13
2011,14,OBJECTIVE,"QUESTÃO 14
O coeficiente de arrasto de um disco com um escoamento As usinas termelétricas geram eletricidade a partir de
normal a uma de suas faces é Cd = 1,17, para valores do turbinas movidas a vapor. O ciclo de Rankine é um ciclo
número de Reynolds maiores do que 1 000. termodinâmico ideal que pode ser utilizado para modelar,
de forma simplificada, uma usina termelétrica. A figura
FOX, R. W., MCDONALD, A. T., PRITCHARD, P. Introduction to Fluid Mechanics. abaixo mostra de forma esquemática os elementos
6. ed. New York: Willey International, 2004. p. 787 (com adaptações)
básicos de um ciclo de Rankine simples ideal.
Em um experimento tem-se água escoando normal à
Entrada
face de um disco. A força de arraste da água no disco é de calor
de alguma forma determinada. Repete-se o experimento
Caldeira
com duas modificações, utiliza-se ar como fluido e altera-
se a velocidade do escoamento para garantir que nos
dois experimentos o número de Reynolds seja o mesmo Saída de
e superior a 1000. A força de arraste da ar no disco é, Trabalho
também, de alguma forma determinada. Considere que a Turbina
água com kg/m3 e Pa.s, e considere
o ar com kg / m3 e Pa.s. Bomba
Com relação às forças que atuam nesse experimento,
é correto afirmar que Entrada
de trabalho
Condensador Saída
A a força de arrasto será a mesma nos dois experimentos, de calor
pois o número de Reynolds e o coeficiente de arrasto
são os mesmos; e a força de empuxo será maior no
experimento com água.
Considerando que algumas usinas termelétricas que
B a força de arrasto será maior no experimento com
utilizam turbinas a vapor podem ser encontradas próximas
água, no qual a velocidade do fluido é menor; e a força
a grandes reservatórios de água, como rios e lagos,
de empuxo é maior no experimento com água. analise as seguintes afirmações.
C a força de arrasto será maior no experimento com
I. O ciclo de Rankine simples mostrado na figura
água, no qual a velocidade do fluido é menor; e a força
não prevê a reutilização da energia que é rejeitada
de empuxo será menor no experimento com água.
no condensador e, por isso, tem um rendimento
D a força de arrasto será maior no experimento com comparável ao de um ciclo de Carnot que opera
água, no qual a velocidade do fluido é maior; e a força entre as mesmas temperaturas.
de empuxo será maior no experimento com água. II. Historicamente, a instalação de algumas
E a força de arrasto será menor no experimento com usinas próximas a grandes rios se dá devido
à necessidade de remover calor do ciclo, por
água, no qual a velocidade do fluido é maior; e a força
intermédio da transferência de calor que ocorre
de empuxo será menor no experimento com água.
no condensador, porém com implicações ao meio
ambiente.
ÁREA LIVRE III. Em usinas que utilizam combustíveis fósseis, o
vapor gerado na caldeira é contaminado pelos
gases da combustão e não é reaproveitado no
ciclo, sendo mais econômico rejeitá-lo, causando
impacto ambiental.
IV. Entre as termelétricas, as usinas nucleares são
as únicas que não causam impacto ambiental,
exceto pela necessidade de se armazenar o lixo
nuclear gerado.
É correto apenas o que se afirma em
A I.
B II.
C I e III.
D II e IV.
E II, III e IV.
10
*A03201110* ENGENHARIA GRUPO III
2011
EXAME NACIONAL DE DESEMPENHO DOS ESTUDANTES"
2011,15,OBJECTIVE,QUESTÃO 15
2011,16,OBJECTIVE,"QUESTÃO 16
Em um ensaio de resposta em frequência de uma
A figura abaixo representa um sistema de refrigeração por
suspensão veicular, foi realizada uma varredura em
compressão de vapor com seus principais componentes e frequência, tendo sido o sistema excitado com uma força
seu respectivo ciclo teórico, construído sobre um diagrama do tipo F = F .cos(ωt). Para cada frequência com que
o
se excitou a estrutura, mediu-se o deslocamento x(ω),
de Mollier (P-h).
resultando no gráfico de resposta de frequência mostrado
a seguir.
H( )(m/N)
1,80E-03
H( )=
X_(__)
1,60E-03 F( )
1,40E-03
1,20E-03
E,00E-03
8,00E-04
6,00E-04
4,00E-04
2,00E-04
0,00E+00
0 10 20 30 40 50 60
(rad/s)
Modelando a suspensão como um sistema massa–mola
de um grau de liberdade, a equação matemática para a
resposta em frequência é
H( ) ___
( ) )
DOSSAT, R. Princípios de Refrigeracion. Mexico: Compañia Editorial
Continental S/A, 1980,p. 130 (com adaptações).
Observando os processos termodinâmicos que constituem
o ciclo teórico, analise as afirmações que se seguem.
I. é um processo adiabático e reversível com
aumento de temperatura e pressão.
II. é um processo isotérmico com pressão
constante.
III. é um processo isentálpico com expansão
reversível.
É correto o que se afirma em
A I, apenas.
B II, apenas.
C I e III, apenas.
D II e III, apenas.
E I, II e III.
11
ENGENHARIA GRUPO III
)
1
k m 2 2 c 2
em que k, c e m são os parâmetros que caracterizam a
estrutura, a saber, constante elástica, amortecimento
e massa, respectivamente. Analisando-se o gráfico e
usando a equação da resposta em frequência, é possível
identificar o valor da frequência de ressonância da
estrutura (ω ) e calcular os parâmetros k, c, e m.
n
Nessa situação, quais os valores corretos desses parâmetros?
A ω = 11 rad/s; k = 500 N/m; m = 4,132 kg e c = 56,82 Ns/m.
n
B ω = 11 rad/s; k = 500 N/m; m = 41,32 kg e c = 5,20 Ns/m.
n
C ω = 11 rad/s; k = 5 000 N/m; m = 41,32 kg e c = 56,82 Ns/m.
n
D ω = 12 rad/s; k = 5 000 N/m; m = 34,72 kg e c = 5,20 Ns/m.
n
E ω = 12 rad/s; k = 5 000 N/m; m = 34,72 kg e c = 52,08 Ns/m.
n
ÁREA LIVRE
*A03201111*
2011
EXAME NACIONAL DE DESEMPENHO DOS ESTUDANTES"
2011,17,OBJECTIVE,QUESTÃO 17
2011,18,OBJECTIVE,"QUESTÃO 18
A segunda lei da termodinâmica pode ser usada para O petróleo é retirado das jazidas por meio de perfurações
na crosta terrestre, através das quais se atinge o poço
avaliar propostas de construção de equipamentos e
petrolífero. Inicialmente, o petróleo jorra espontaneamente,
verifi car se o projeto é factível, ou seja, se é possível de
em razão da grande pressão de seus gases. Uma empresa
ser construído. Considere a situação em que um inventor
especializada em perfurar poços foi contratada para
alega ter desenvolvido um equipamento que trabalha pesquisar a existência de petróleo em uma região. Durante
segundo o ciclo termodinâmico de potência mostrado na o processo de perfuração, verifi cou-se que, ao atingir 100 m
fi gura. O equipamento retira 800 kJ de energia, na forma de profundidade, o poço jorra petróleo espontaneamente a
uma altura h = 18 m acima do solo. A empresa pede para
de calor, de um dado local que se encontra na temperatura
um especialista fazer uma análise desse problema clássico.
de 1000 K, desenvolve uma dada quantidade líquida de
Após esquematizar o problema conforme fi gura abaixo, ele
trabalho para a elevação de um peso e descarta 300 kJ
considera razoável admitir que as perdas por atrito com o
de energia, na forma de calor, para outro local que se ar são em torno de 10% da carga total do jato de petróleo
encontra a 500 K de temperatura. A efi ciência térmica do na saída do poço.
ciclo é dada pela equação fornecida.
Poço de extração de petróleo.
MORAN, M. J., SHAPIRO, H. N. Princípios de Termodinâmica para
Engenharia. Editora LTC S.A., Rio de Janeiro, 6ª edição, 2009, Cap. 5. Dados:
Nessa situação, a alegação do inventor é Aceleração da gravidade g = 10 m/s2.
A correta, pois a efi ciência de seu equipamento é de Área da seção do poço = 5 cm2.
50% e é menor que a efi ciência teórica máxima. Perda de carga no trecho 2-3 é equivalente a 50 m.
B incorreta, pois a efi ciência de seu equipamento é de Considerando os resultados obtidos pelo especialista, a
50% e é maior do que a efi ciência teórica máxima. partir de uma análise quantitativa, conclui-se que a vazão
volumétrica na saída do poço de petróleo e a pressão P2
C correta, pois a efi ciência de seu equipamento é de
na entrada do poço são, respectivamente, iguais a
62,5% e é menor do que a efi ciência teórica máxima.
A 0,1 m3/s e -4,0 kgf/cm2.
D incorreta, pois a efi ciência de seu equipamento é de
B 0,1 m3/s e 12,0 kgf/cm2.
62,5% e é maior do que a efi ciência teórica máxima.
C 0,1 m3/s e 8,0 kgf/cm2.
E incorreta, pois a efi ciência de seu equipamento é de D 1 m3/s e -4,0 kgf/cm2.
62,5% e é menor do que a efi ciência teórica máxima. E 1 m3/s e 12,0 kgf/cm2.
12
*A03201112* ENGENHARIA GRUPO III
2011
EXAME NACIONAL DE DESEMPENHO DOS ESTUDANTES"
2011,19,OBJECTIVE,"QUESTÃO 19
Instalações de potência com turbinas a gás tendem a ser mais leves e compactas se comparadas a instalações de
potência a vapor. Adicionalmente, apresentam uma relação favorável entre potência de saída e peso nas turbinas
a gás, o que as tornam atrativas para aplicações em transporte, podendo-se citar, como exemplo, a propulsão de
aeronaves e embarcações.
MORAN, M. J., SHAPIRO, H. N. Princípios de Termodinâmica para Engenharia.
Rio de Janeiro: LTC S.A., 6.ª ed., 2009.
Considere uma turbina a gás, que opera em modo fechado, analisada por meio do ciclo de ar-padrão Brayton, conforme
figura a seguir acompanhada do diagrama T × s (temperatura versus entropia específica) correspondente.
Sob essas condições, avalie as afirmações que se seguem.
I. De acordo com as hipóteses de uma análise de ar-padrão, o aumento de temperatura que seria obtido no
processo de combustão é alcançado por transferência de calor de uma fonte externa para o fluido de trabalho.
Esse fluido de trabalho é considerado o ar como gás ideal.
II. O ar, ao passar pela turbina, sairia para a atmosfera em uma condição de temperatura mais alta do que
quando foi admitido ao compressor. No ciclo de ar-padrão Brayton, idealiza-se um trocador de calor entre a
turbina e o compressor, para rejeição de calor, a fim de reduzir a temperatura na saída da turbina aos níveis
da entrada no compressor.
III. Um ciclo de ar-padrão Brayton é composto por quatro equipamentos: um compressor que eleva a pressão do
ar para sua entrada na turbina, um trocador de calor que é responsável pelo aumento da temperatura para
a entrada do ar na turbina, uma turbina e outro trocador de calor que reduz a temperatura do ar na saída da
turbina, aos mesmos níveis de sua entrada no compressor.
É correto o que se afirma em
A I, apenas.
B II, apenas.
C I e III, apenas.
D II e III, apenas.
E I, II e III.
13
ENGENHARIA GRUPO III *A03201113*
2011
EXAME NACIONAL DE DESEMPENHO DOS ESTUDANTES"
2011,20,OBJECTIVE,QUESTÃO 20
2011,21,OBJECTIVE,"QUESTÃO 21
II. O dimensionamento físico das partes do produto
Basicamente, a finalidade de um aparelho de ar é feito na etapa de manufatura, que engloba sua
condicionado é extrair o calor de uma fonte quente, fabricação e montagem.
rejeitando para o ambiente externo. Existem diversas
III. Modelos virtuais e físicos do produto não devem
formas e tabelas que possibilitam a estimativa da carga
ser realizados na etapa de projeto do ciclo de vida,
térmica, para que o sistema seja especificado de forma
antes do seu detalhamento para a manufatura.
correta e adequada.
IV. As necessidades de todos os usuários das etapas
Nessas condições, para determinar a carga térmica,
do ciclo de vida do produto devem ser levantadas
deve-se levar em consideração, além do volume da sala,
para se definir a especificação de projeto do
I. a incidência de ventos laterais.
produto na fase inicial da etapa de projeto.
II. a superfície de janelas e portas.
V. Na etapa de projeto do ciclo de vida do produto,
III. o número de pessoas que ocupam constantemente
o engenheiro deve se concentrar constantemente
o recinto.
em três variáveis principais: geometria, material
IV. a estimativa da potência de outros aparelhos
e função.
elétricos/eletrônicos que existam no local.
É correto apenas o que se afirma em
É correto apenas o que se afirma em
A I, II e III.
A I e III.
B II e IV. B I, II e IV.
C I, II e III. C I, IV e V.
D I, III e IV. D II, III e V.
E II, III e IV. E III, IV e V.
14
*A03201114* ENGENHARIA GRUPO III
2011
EXAME NACIONAL DE DESEMPENHO DOS ESTUDANTES"
2011,22,OBJECTIVE,"QUESTÃO 22
As tensões normais σ e as tensões de cisalhamento τ em
um ponto de um corpo submetido a esforços podem ser Testes
analisadas utilizando-se o círculo de tensões de Mohr, no
qual a ordenada de um ponto sobre o círculo é a tensão de Montagem Transporte
cisalhamento τ e a abscissa é a tensão normal σ.
Y
Fabricação Uso
10 MPa PRODUTO
40 MPa
Projeto Manutenção
70 MPa
X Mercado Descarte
O processo sistemático de projetar sistemas, produtos
e serviços é atualmente um grande diferencial entre as
Para o estado plano de tensão no ponto apresentado na empresas. Essa sistemática passa pela definição do
figura acima, as tensões normais principais e a tensão ciclo de vida e, principalmente, pela consideração dos
máxima de cisalhamento são, em MPa, respectivamente requisitos dos usuários nas diversas etapas envolvidas na
iguais a obtenção do produto.
A -22,8; 132,8 e 77,8.
Considerando essas informações, avalie as afirmações
B -16,6; 96,6 e 56,6. que se seguem.
C -10,4; 60,4 e 35,4.
I. O estudo das necessidades dos usuários deve
D -10; 90 e 50.
ter como plataforma de identificação e definição
E 70; 10 e 56,6. de suas características o ciclo de vida do sistema,
produto ou serviço."
2011,23,OBJECTIVE,QUESTÃO 23
